PRECINCT_NAME,CANDIDATE_FULL_NAME,contest_party_id,candidate_party_id,CONTEST_TYPE,contest_id,CONTEST_ORDER,CANDIDATE_ORDER,CONTEST_FULL_NAME,TOTAL,PRECINCT_ID,precinct_order,contest_vote_for,PROCESSED_DONE,PROCESSED_STARTED,CONTEST_TOTAL,IS_WRITEIN,undervote,overvote
0075 CAMELOT,Write-In Candidate,,0,0,113,107,6,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),5,75,75,2,1,1,1856,1,1590,28
0078 CAMPBELL PARK," - HODGE, BERDETTA B.",,0,0,113,107,1,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),109,78,78,2,1,1,594,0,572,4
0078 CAMPBELL PARK," - KLYPE, VIOLA",,0,0,113,107,2,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),96,78,78,2,1,1,594,0,572,4
0078 CAMPBELL PARK," - MCCLENAHAN, DEEANNE",,0,0,113,107,3,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),146,78,78,2,1,1,594,0,572,4
0078 CAMPBELL PARK," - SCHMOLL, BRANDON",,0,0,113,107,4,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),128,78,78,2,1,1,594,0,572,4
0078 CAMPBELL PARK," - SHRIVASTAVA, VEEKAS",,0,0,113,107,5,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),114,78,78,2,1,1,594,0,572,4
0078 CAMPBELL PARK,Write-In Candidate,,0,0,113,107,6,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),1,78,78,2,1,1,594,1,572,4
0083 CARDINAL," - HODGE, BERDETTA B.",,0,0,113,107,1,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),334,83,83,2,1,1,1943,0,1619,24
0083 CARDINAL," - KLYPE, VIOLA",,0,0,113,107,2,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),278,83,83,2,1,1,1943,0,1619,24
0083 CARDINAL," - MCCLENAHAN, DEEANNE",,0,0,113,107,3,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),558,83,83,2,1,1,1943,0,1619,24
0083 CARDINAL," - SCHMOLL, BRANDON",,0,0,113,107,4,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),377,83,83,2,1,1,1943,0,1619,24
0083 CARDINAL," - SHRIVASTAVA, VEEKAS",,0,0,113,107,5,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),394,83,83,2,1,1,1943,0,1619,24
0083 CARDINAL,Write-In Candidate,,0,0,113,107,6,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),2,83,83,2,1,1,1943,1,1619,24
0095 CELAYA," - HODGE, BERDETTA B.",,0,0,113,107,1,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),224,95,95,2,1,1,1107,0,825,4
0095 CELAYA," - KLYPE, VIOLA",,0,0,113,107,2,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),192,95,95,2,1,1,1107,0,825,4
